<gps i=123 t=1344346727000 x=30.25834163 y=59.94154149 z=32.7 s=0.0 c=0.0 a=43.0>
<gps i=123 t=1344346728002 x=30.25832487 y=59.94149431 z=33.0 s=0.0 c=0.0 a=36.0>
<gps i=123 t=1344346728998 x=30.25841533 y=59.9415746 z=33.7 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346729999 x=30.25841868 y=59.94157084 z=33.8 s=0.0 c=0.0 a=29.0>
<gps i=123 t=1344346730981 x=30.25842165 y=59.94157438 z=33.8 s=0.0 c=0.0 a=27.0>
<gps i=123 t=1344346731996 x=30.25841153 y=59.94155633 z=33.9 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346732997 x=30.2584151 y=59.94155876 z=33.9 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346733995 x=30.25841384 y=59.94155494 z=34.0 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346734995 x=30.25841245 y=59.94155021 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346735999 x=30.25841138 y=59.94154797 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346736997 x=30.25841171 y=59.94154698 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346737990 x=30.25841155 y=59.94154645 z=34.0 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346739001 x=30.25841244 y=59.94155023 z=34.0 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346739992 x=30.25841299 y=59.9415518 z=34.0 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346740996 x=30.25840839 y=59.94153916 z=34.1 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1344346742001 x=30.25840303 y=59.94152855 z=34.2 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1344346743001 x=30.25840017 y=59.94152482 z=34.2 s=0.0 c=0.0 a=33.0>
<gps i=123 t=1344346743997 x=30.25839904 y=59.94152317 z=34.2 s=0.0 c=0.0 a=30.0>
<gps i=123 t=1344346744997 x=30.25839678 y=59.94152112 z=34.2 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346746001 x=30.25839747 y=59.94152402 z=34.1 s=0.0 c=0.0 a=26.0>
<gps i=123 t=1344346746995 x=30.25839681 y=59.94152604 z=34.1 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346748001 x=30.25839687 y=59.94152818 z=34.1 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346748999 x=30.25839659 y=59.94152824 z=34.1 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346750008 x=30.25839499 y=59.94152578 z=34.1 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346751001 x=30.25839482 y=59.94152558 z=34.1 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346752003 x=30.25839503 y=59.94152669 z=34.1 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346753023 x=30.2583963 y=59.94153287 z=34.0 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346754001 x=30.25839482 y=59.94152965 z=34.1 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346755010 x=30.2583947 y=59.94152881 z=34.1 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346756003 x=30.258395 y=59.94153064 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346757005 x=30.25839458 y=59.94153003 z=34.0 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346758008 x=30.25839606 y=59.94153411 z=34.0 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346759007 x=30.25839717 y=59.94153709 z=34.0 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346760009 x=30.25839831 y=59.94153979 z=34.0 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346761019 x=30.25839842 y=59.94154039 z=34.0 s=0.0 c=0.0 a=26.0>
<gps i=123 t=1344346762001 x=30.25839876 y=59.94154056 z=34.0 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346763010 x=30.25840092 y=59.94154638 z=33.9 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346764005 x=30.25840222 y=59.94154789 z=33.9 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346765010 x=30.25840135 y=59.94154659 z=33.9 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346766013 x=30.25840117 y=59.94154575 z=34.0 s=0.0 c=0.0 a=27.0>
<gps i=123 t=1344346766999 x=30.25840213 y=59.94154858 z=33.9 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346768003 x=30.25840121 y=59.94154748 z=33.9 s=0.0 c=0.0 a=29.0>
<gps i=123 t=1344346769005 x=30.25840079 y=59.94154642 z=34.0 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346770011 x=30.25839995 y=59.94154475 z=34.0 s=0.0 c=0.0 a=29.0>
<gps i=123 t=1344346771022 x=30.25839949 y=59.94154407 z=34.0 s=0.0 c=0.0 a=27.0>
